FID,CID,Type,POINT_X,POINT_Y
191, 0, 6, 256578.542791, 6250226.78457
192, 0, 6, 255257.140456, 6249550.26257
193, 0, 6, 256624.190266, 6251557.18197
194, 0, 6, 255291.196162, 6250556.55779
195, 0, 6, 256343.851954, 6250312.33778
196, 0, 6, 254732.296884, 6250799.62049
197, 0, 6, 255692.225658, 6251084.06756
198, 0, 6, 254752.206272, 6251498.12606
199, 0, 6, 255623.876981, 6249699.43999
200, 0, 6, 255508.997452, 6249672.46529
201, 0, 6, 255514.855368, 6250780.88984
202, 0, 6, 255840.88321, 6250072.37745
203, 0, 6, 254490.729758, 6250647.74801
204, 0, 6, 255304.595151, 6250123.75859
205, 0, 6, 255551.081457, 6249552.19471
206, 0, 3, 256856.143355, 6249451.24755
207, 0, 6, 254532.55034, 6250593.18041
208, 0, 6, 254574.552974, 6250536.21935
209, 0, 6, 255940.623173, 6251794.48517
210, 0, 6, 256255.975315, 6250432.79164
211, 0, 6, 255213.249233, 6250419.38251
212, 0, 6, 256180.247472, 6249713.74803
213, 0, 6, 256607.221561, 6250346.60074
214, 0, 6, 255709.872754, 6250785.62268
215, 0, 6, 256345.644288, 6249862.60524
216, 0, 6, 255155.499085, 6250859.59417
217, 0, 6, 256808.198103, 6250781.79699
218, 0, 6, 256254.565442, 6251576.20187
219, 0, 6, 254563.063169, 6250974.49954
220, 0, 6, 256549.30495, 6250258.46804
221, 0, 6, 256192.062459, 6251307.98593
222, 0, 6, 255431.272819, 6250701.42858
223, 0, 6, 256142.830348, 6251541.45869
224, 0, 6, 254622.121963, 6251721.47488
225, 0, 6, 256282.453744, 6250508.82011
226, 0, 6, 255214.572858, 6251391.46574
227, 0, 6, 254811.74897, 6249791.96501
228, 0, 6, 255187.405518, 6251360.79766
229, 0, 6, 255905.177517, 6250323.11117
230, 0, 6, 256215.582933, 6251782.87404
231, 0, 6, 256163.030076, 6249697.43922
232, 0, 6, 256120.666116, 6250673.30312
233, 0, 6, 255126.412069, 6250100.96807
234, 0, 6, 256016.283892, 6250515.92891
235, 0, 6, 255610.354818, 6250500.82894
236, 0, 6, 255579.697878, 6250325.34808
237, 0, 6, 256317.311978, 6249943.52623
238, 0, 6, 255139.676447, 6250363.12722
239, 0, 6, 255475.136049, 6250541.99157
240, 0, 6, 255708.657549, 6250064.38005
241, 0, 6, 255536.222778, 6250805.08639
242, 0, 6, 256922.511805, 6251097.2028
243, 0, 6, 255190.473512, 6249841.75286
244, 0, 6, 255423.991166, 6249466.70412
245, 0, 6, 256171.689765, 6250813.32416
246, 0, 6, 256418.41126, 6249941.87801
247, 0, 6, 256905.160465, 6251563.21555
248, 0, 6, 256269.101282, 6250176.10678
249, 0, 6, 255705.910198, 6249425.36401
250, 0, 6, 256133.474418, 6249643.92839
251, 0, 6, 255902.330996, 6251784.52609
252, 0, 6, 255989.417784, 6250703.81375
253, 0, 6, 255734.009415, 6250373.07437
254, 0, 6, 255340.504827, 6249847.2146
255, 0, 6, 255016.480296, 6250354.53627
256, 0, 6, 255490.971955, 6250273.11817
257, 0, 6, 256068.355482, 6250243.72239
258, 0, 6, 255965.134168, 6250575.37295
259, 0, 6, 256104.742129, 6250999.4338
260, 0, 6, 255604.776422, 6251078.39039
261, 0, 6, 255071.40145, 6251297.11077
262, 0, 6, 255490.080834, 6250833.76671
263, 0, 6, 255124.259574, 6249622.15059
264, 0, 6, 255746.556833, 6250018.47274
265, 0, 6, 254578.168684, 6250522.61271
266, 0, 6, 256700.570531, 6251328.09778
267, 0, 6, 255725.919327, 6249947.27838
268, 0, 6, 256221.093003, 6251648.04601
269, 0, 6, 255949.605143, 6250418.66802
270, 0, 6, 255725.792521, 6250292.66022
271, 0, 6, 256201.133512, 6250228.85114
272, 0, 6, 256049.672207, 6250217.60111
273, 0, 6, 256338.584481, 6250205.89955
274, 0, 6, 255660.263713, 6250356.11394
275, 0, 6, 254493.523392, 6251657.26145
276, 0, 6, 256260.791785, 6249544.1654
277, 0, 6, 256557.02254, 6250091.34233
278, 0, 6, 256104.479085, 6250223.42224
279, 0, 6, 255398.427676, 6249480.9723
280, 0, 6, 255130.642635, 6251282.21558
281, 0, 6, 256879.220356, 6250017.44477
282, 0, 6, 255726.294759, 6251054.20802
283, 0, 6, 255293.74722, 6250996.03591
284, 0, 6, 256074.941962, 6250721.40476
285, 0, 6, 254716.595974, 6249835.27597
286, 0, 6, 256143.731272, 6250185.11323
287, 0, 6, 256422.119842, 6250247.46108
288, 0, 6, 255779.657693, 6250865.9536
289, 0, 6, 255770.058831, 6250496.24876
290, 0, 6, 255742.013591, 6250427.14257
291, 0, 6, 254848.19491, 6250942.13827
292, 0, 6, 255646.410325, 6251697.6346
293, 0, 6, 255429.163769, 6251064.1285
294, 0, 6, 254628.548028, 6251719.81004
295, 0, 6, 255709.297479, 6250304.11928
296, 0, 6, 255939.354519, 6251247.97544
297, 0, 6, 255272.602033, 6249684.46052
298, 0, 6, 255893.515327, 6249782.3763
299, 0, 6, 254676.978154, 6250364.76272
300, 0, 6, 256536.467897, 6250064.10123
301, 0, 6, 255742.012577, 6250311.05973
302, 0, 6, 255669.719379, 6250658.28596
303, 0, 6, 255454.554393, 6250718.93963
304, 0, 6, 255593.2064, 6250496.33053
305, 0, 6, 256214.065987, 6250255.478
306, 0, 3, 256774.241217, 6249529.19672
307, 0, 6, 254834.14985, 6250932.12399
308, 0, 6, 256708.503109, 6251330.25075
309, 0, 6, 255790.123765, 6250539.11086
310, 0, 6, 255575.269677, 6251297.83207
311, 0, 6, 255647.303702, 6249678.19125
312, 0, 6, 254778.086543, 6251469.0459
313, 0, 6, 256093.762417, 6250305.62229
314, 0, 6, 255824.612107, 6250704.20783
315, 0, 6, 255657.796966, 6249848.26214
316, 0, 6, 255926.469924, 6250574.25029
317, 0, 6, 255544.59159, 6251119.31597
318, 0, 6, 254545.843198, 6251399.3237
319, 0, 6, 255903.559804, 6250630.43304
320, 0, 6, 256133.335084, 6250311.90196
321, 0, 6, 255794.458188, 6249979.85751
322, 0, 6, 256097.181923, 6249605.06053
323, 0, 6, 256473.228737, 6250333.47617
324, 0, 6, 255574.952665, 6249538.81267
325, 0, 6, 256076.373014, 6250165.36746
326, 0, 6, 254698.102487, 6250113.49055
327, 0, 6, 254524.783168, 6251631.64508
328, 0, 6, 256410.756728, 6249397.55899
329, 0, 6, 256324.761091, 6251550.46962
330, 0, 6, 256042.803884, 6250654.25243
331, 0, 6, 256231.324848, 6251803.54625
332, 0, 6, 255347.686169, 6250048.38263
333, 0, 6, 255855.533746, 6250054.05721
334, 0, 6, 256448.105277, 6250210.72821
335, 0, 6, 256501.367718, 6250303.29681
