FID,CID,Type,POINT_X,POINT_Y
187, 0, 1, 12307167.8047, 3383356.91313
188, 0, 1, 12308274.0944, 3382816.15432
189, 0, 1, 12308265.2174, 3382821.42482
190, 0, 1, 12306417.8791, 3382982.73024
191, 0, 1, 12308175.804, 3382895.98211
192, 0, 1, 12306159.8861, 3383489.32131
193, 0, 1, 12306151.1468, 3384463.85663
194, 0, 1, 12307009.3609, 3383756.55871
195, 0, 1, 12306285.9693, 3383089.2694
196, 0, 1, 12308427.8271, 3384128.63561
197, 0, 1, 12306305.1937, 3383046.3544
198, 0, 1, 12306260.3735, 3383103.17749
199, 0, 1, 12307261.9976, 3383854.20905
200, 0, 1, 12307302.8959, 3383783.66585
201, 0, 1, 12306161.7884, 3383655.23505
202, 0, 1, 12307928.8655, 3383061.85173
203, 0, 1, 12307173.047, 3385038.4073
204, 0, 1, 12306138.5219, 3384514.21876
205, 0, 1, 12306710.1942, 3382662.19711
206, 0, 1, 12308408.5273, 3384103.24232
207, 0, 1, 12306081.3702, 3382767.16522
208, 0, 1, 12307223.5142, 3383443.78
209, 0, 1, 12307102.1703, 3383325.30193
210, 0, 1, 12307268.2944, 3383785.55899
211, 0, 1, 12306446.3091, 3383373.53335
212, 0, 1, 12306278.4564, 3383190.09811
213, 0, 1, 12308420.4076, 3382669.15761
214, 0, 1, 12306165.1259, 3382817.71006
215, 0, 1, 12306929.2287, 3383595.47147
216, 0, 1, 12306598.4332, 3383704.71107
217, 0, 1, 12307050.8758, 3383693.99485
218, 0, 1, 12307067.285, 3383322.50465
219, 0, 1, 12306908.3063, 3383581.61693
220, 0, 1, 12308250.5675, 3382833.77174
221, 0, 1, 12307534.5852, 3383574.84244
222, 0, 1, 12307156.4593, 3383341.04042
223, 0, 1, 12307482.3639, 3383561.49571
224, 0, 1, 12306149.7726, 3384467.00322
225, 0, 1, 12307661.6593, 3383567.22424
226, 0, 1, 12307093.2024, 3384232.70701
227, 0, 1, 12307103.4792, 3384288.11876
228, 0, 1, 12306220.4858, 3384203.42867
229, 0, 1, 12306386.0614, 3383687.78467
230, 0, 1, 12306769.4766, 3382877.14386
231, 0, 1, 12306271.6231, 3383437.64055
232, 0, 1, 12307007.1054, 3383762.08083
233, 0, 1, 12306244.853, 3383183.53247
234, 0, 1, 12307379.4334, 3383879.73876
235, 0, 1, 12306064.764, 3382819.87767
236, 0, 1, 12306229.6293, 3383188.66086
237, 0, 1, 12306492.5257, 3383165.8014
238, 0, 1, 12307379.7865, 3383714.19344
239, 0, 1, 12306871.7254, 3383584.55525
240, 0, 1, 12308178.8712, 3382892.30335
241, 0, 1, 12306903.4007, 3383196.99608
242, 0, 1, 12306260.7104, 3382729.05934
243, 0, 1, 12307989.3317, 3382944.53778
244, 0, 1, 12306516.8874, 3383699.35188
245, 0, 1, 12306403.7121, 3382708.77694
246, 0, 1, 12307297.5948, 3383440.37664
247, 0, 1, 12307846.2264, 3383438.61413
248, 0, 1, 12307916.0681, 3383087.03199
249, 0, 1, 12307848.0174, 3383434.40756
250, 0, 1, 12306009.3371, 3385006.2078
251, 0, 1, 12306309.026, 3383838.64534
