FID,CID,Type,POINT_X,POINT_Y
63, 0, 1, -8236793.0658, 4970149.43801
64, 0, 1, -8237157.89298, 4969531.66359
65, 0, 1, -8237115.32672, 4969541.94849
66, 0, 1, -8237741.14576, 4968206.88956
67, 0, 1, -8235865.1319, 4969742.85027
68, 0, 1, -8236946.0634, 4970051.95802
69, 0, 1, -8236511.02175, 4968099.34879
70, 0, 1, -8236773.33638, 4968439.75142
71, 0, 1, -8236547.10299, 4968115.10484
72, 0, 1, -8235827.1916, 4970133.89383
73, 0, 1, -8236495.93253, 4968017.30782
74, 0, 1, -8237288.82557, 4968348.13669
75, 0, 1, -8236716.89755, 4968492.68569
76, 0, 1, -8237120.34717, 4969537.71552
77, 0, 1, -8236808.62363, 4970216.73695
78, 0, 1, -8236557.45509, 4968187.31949
79, 0, 1, -8237222.34595, 4968160.96534
80, 0, 1, -8236157.23801, 4968576.46761
81, 0, 1, -8236816.97578, 4969603.91975
82, 0, 1, -8236581.34283, 4969652.37625
83, 0, 1, -8235806.41111, 4970398.7619
84, 0, 1, -8236435.09134, 4969661.57365
85, 0, 1, -8236483.46603, 4968089.86978
86, 0, 1, -8236417.1645, 4968193.51217
87, 0, 1, -8237746.58511, 4969727.9803
88, 0, 1, -8236058.86724, 4970101.56478
89, 0, 1, -8236009.52363, 4968185.08397
90, 0, 1, -8237111.91028, 4969542.99852
91, 0, 1, -8236825.53694, 4968591.12739
92, 0, 1, -8235821.45281, 4970136.4805
93, 0, 1, -8236743.53547, 4968517.80528
94, 0, 1, -8237155.09742, 4968615.24727
95, 0, 1, -8237206.57819, 4968476.5853
96, 0, 1, -8236501.04277, 4968186.39146
97, 0, 1, -8236688.17994, 4969442.46083
98, 0, 1, -8236574.63021, 4968327.37989
99, 0, 1, -8236639.27967, 4968433.27542
100, 0, 1, -8237826.85194, 4969198.12817
101, 0, 1, -8236605.00658, 4970249.92043
102, 0, 1, -8236143.94272, 4968254.13371
103, 0, 1, -8237827.49583, 4969217.12583
104, 0, 1, -8236605.74345, 4969628.32701
105, 0, 1, -8236899.80609, 4969948.01714
106, 0, 1, -8236142.42023, 4968811.79067
107, 0, 1, -8237791.23146, 4969640.88899
108, 0, 1, -8236627.7728, 4968302.07532
109, 0, 1, -8236193.44281, 4967901.86666
110, 0, 1, -8237502.9255, 4970154.37692
111, 0, 1, -8236908.21563, 4968557.67456
112, 0, 1, -8237573.07867, 4969386.26689
113, 0, 1, -8235977.17706, 4970316.78787
114, 0, 1, -8236691.08123, 4968671.51544
115, 0, 1, -8235986.1884, 4970216.29617
116, 0, 1, -8235827.92647, 4968060.57193
117, 0, 1, -8236618.54859, 4968087.3874
118, 0, 1, -8236376.88844, 4969684.83654
119, 0, 1, -8235409.19874, 4968022.04279
120, 0, 1, -8236541.23203, 4968419.4072
121, 0, 1, -8236403.08365, 4970063.19514
122, 0, 1, -8236351.58994, 4967990.81613
123, 0, 1, -8235375.4502, 4969821.33938
124, 0, 1, -8236468.12653, 4970261.77483
125, 0, 1, -8235990.38335, 4970113.27942
126, 0, 1, -8235738.76547, 4970341.65872
127, 0, 1, -8236237.22701, 4968417.43264
128, 0, 1, -8237680.42816, 4969311.82002
129, 0, 1, -8236825.03051, 4967920.88881
130, 0, 1, -8237047.39239, 4968324.64862
131, 0, 1, -8236266.95037, 4968501.02806
